Size,ij time(s),ji time(s)
4000,0.057511,0.135561
10000,0.362586,0.833658
16000,0.982296,2.164713
22000,2.408694,5.669328
28000,4.954980,15.074662
34000,8.083982,33.647207
40000,11.244638,52.489638
