Size,ij time(s), ji time(s)
3, 0.000001, 0.000000
10, 0.000004, 0.000001
50, 0.000030, 0.000021
100, 0.000108, 0.000077
1000, 0.004824, 0.003168
5000, 0.159830, 0.062381
10000, 0.773837, 0.251994
20000, 2.081321, 0.969366
